X直播電視台
香港☒頻道,#genre#
体育赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226803/index.m3u8
精彩体育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8
体育1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225850/index.m3u8
体育2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225834/index.m3u8
体育3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225835/index.m3u8
体育4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225836/index.m3u8
体育5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225839/index.m3u8
体育6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225845/index.m3u8
超级体育1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225848/index.m3u8
超级体育2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225849/index.m3u8
超级体育3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225847/index.m3u8


海外©頻道,#genre#
HGTV50,http://50.7.161.82:8278/streams/d/HGTV/playlist.m3u8
HGTV185,http://185.180.221.194:8278/streams/d/HGTV/playlist.m3u8
tvN,http://50.7.161.82:8278/streams/d/TVN/playlist.m3u8
tvN,http://185.180.221.194:8278/streams/d/TVN/playlist.m3u8
HBOHD,http://50.7.161.82:8278/streams/d/Hbo/playlist.m3u8
HBOHD,https://gratismkctv.net/film/hbo.m3u8
HBOHD,http://185.180.221.194:8278/streams/d/Hbo/playlist.m3u8
HBOHits,http://185.180.221.194:8278/streams/d/Hbohits/playlist.m3u8
HBOSignature,http://185.180.221.194:8278/streams/d/Hbosignature/playlist.m3u8
FOX,https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOX-HD-1080p/playlist.m3u8
FOX,http://185.180.221.194:8278/streams/d/Foxhd/playlist.m3u8
FOXLIFE,http://185.180.221.194:8278/streams/d/Foxlife/playlist.m3u8
FOXMOVIES,http://185.180.221.194:8278/streams/d/Foxmovie/playlist.m3u8
FOXMOVIES,https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOXMOVIES-HD-1080p/playlist.m3u8
FoxFamilyMovies,http://185.180.221.194:8278/streams/d/Foxfamily/playlist.m3u8
